OTU ID,HO0776.448,HO0776.022,HO0776.407,HO0776.267,HO0776.326,HO0776.339,HO0776.026,HO0776.315,HO0776.282,HO0776.396,HO0776.338,HO0776.272,HO0776.306,HO0776.253,HO0776.018,HO0776.268,HO0776.307,HO0776.345,HO0776.126,HO0776.096,HO0776.094,HO0776.138,HO0776.447,HO0776.176,HO0776.186,HO0776.ATCC.1003,HO0776.240,HO0776.225,HO0776.180,HO0776.232,HO0776.131,HO0776.311,HO0776.385,HO0776.FAECAL,HO0776.192,HO0776.219,HO0776.357,HO0776.037,HO0776.196,HO0776.217,HO0776.300,HO0776.210,HO0776.218,HO0776.054,HO0776.444,HO0776.452,HO0776.435,HO0776.128,HO0776.004,HO0776.122,HO0776.276,HO0776.293,HO0776.403,HO0776.ATCC.1004,HO0776.312,HO0776.380,HO0776.044,HO0776.203,HO0776.042,HO0776.313,HO0776.375,HO0776.393,HO0776.051,HO0776.208,HO0776.076,HO0776.365,HO0776.MOCK.1.2,HO0776.negative,OTU ID_dup
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina_lacustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__METHANOMICROBIA;O__METHANOSARCINALES;F__METHANOSARCINACEAE;G__METHANOSARCINA;S__METHANOSARCINA_LACUSTRIS
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina_mazei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__METHANOMICROBIA;O__METHANOSARCINALES;F__METHANOSARCINACEAE;G__METHANOSARCINA;S__METHANOSARCINA_MAZEI
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina_thermophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000184962,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__METHANOMICROBIA;O__METHANOSARCINALES;F__METHANOSARCINACEAE;G__METHANOSARCINA;S__METHANOSARCINA_THERMOPHILA
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Methanomassiliicoccus_luminyensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__ARCHAEA;P__EURYARCHAEOTA;C__THERMOPLASMATA;O__METHANOMASSILIICOCCALES;F__METHANOMASSILIICOCCACEAE;G__METHANOMASSILIICOCCUS;S__METHANOMASSILIICOCCUS_LUMINYENSIS
k__Bacteria;p__;c__;o__;f__;g__;s__bacterium_JKG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__BACTERIA;P__;C__;O__;F__;G__;S__BACTERIUM_JKG1
k__Bacteria;p__;c__;o__;f__;g__;s__bacterium_LF-3,0.0213623851,0.0002416237,0.0023747017,0.0526777352,0.0008411934,0.0124509301,0.0002147721,0.0001640621,0.0004653105,8.05E-05,0.0267315391,0.0005248671,0.0009693998,0.0002236729,0.0001013902,0.000602433,0.0075326534,0.0003877992,0.0233178319,0.0082691717,0.0003878339,0.0002952633,0.0004443967,0.0008291948,0.0006831029,1.79E-05,0.0006769249,0.0032234306,0.0338365264,0.1029313493,0.000202792,0.0041008175,0.0005638526,4.47E-05,0.0004652952,0.0004474073,0.0188865524,0.0146886489,0.0031608296,0.0086771843,0.0001550794,0.002295999,0.000107387,0.0015184375,0.0003848403,0.0377534096,0.0005876177,0.0010440375,0.0077213974,0.0002475203,0.0001759555,0.0232010118,0.0008320386,0,8.05E-05,5.37E-05,0.0085862894,6.26E-05,0.0002028398,0.000250584,0.0003996624,0.0004026822,0.0001580768,0.0001580938,0.0002028301,8.65E-05,0,0,K__BACTERIA;P__;C__;O__;F__;G__;S__BACTERIUM_LF-3
k__Bacteria;p__;c__;o__;f__;g__;s__bacterium_MS4,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__BACTERIA;P__;C__;O__;F__;G__;S__BACTERIUM_MS4
k__Bacteria;p__;c__;o__;f__;g__;s__bacterium_SIT5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88E-05,0,0,0,0,0.0001163183,0,K__BACTERIA;P__;C__;O__;F__;G__;S__BACTERIUM_SIT5
k__Bacteria;p__;c__;o__;f__;g__Thermobaculum;s__Thermobaculum_terrenum,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K__BACTERIA;P__;C__;O__;F__;G__THERMOBACULUM;S__THERMOBACULUM_TERRENUM
k__Bacteria;p__;c__;o__Haloplasmatales;f__Haloplasmataceae;g__Haloplasma;s__Haloplasma_contractile,0,0,0.0002177804,1.79E-05,2.09E-05,5.97E-06,4.47E-05,1.79E-05,8.05E-05,5.97E-06,8.95E-06,6.86E-05,5.97E-06,7.46E-05,1.79E-05,1.19E-05,4.47E-05,6.26E-05,2.98E-06,4.47E-05,0.0001282835,6.26E-05,7.16E-05,0.0001014123,5.67E-05,0,2.09E-05,0,8.95E-06,2.39E-05,8.95E-06,2.98E-06,6.86E-05,0,0.0002624742,0,5.07E-05,0,2.09E-05,0,0,6.26E-05,6.26E-05,1.49E-05,0.0001193303,8.95E-06,5.67E-05,0,5.96E-06,5.96E-05,0,5.97E-06,7.75E-05,0,8.35E-05,0,1.79E-05,0,2.98E-05,0.0002774322,0.0002564997,0.0001372102,1.49E-05,0,0,1.19E-05,0,0,K__BACTERIA;P__;C__;O__HALOPLASMATALES;F__HALOPLASMATACEAE;G__HALOPLASMA;S__HALOPLASMA_CONTRACTILE
